frequency_hz,signal
2.700000000000000000e+09,1.000203711158116571e+00
2.700500715307582378e+09,9.996875218972337551e-01
2.701001430615164757e+09,1.001232048926212537e+00
2.701502145922746658e+09,1.000160466746545795e+00
2.702002861230329037e+09,9.988787813238630964e-01
2.702503576537911415e+09,1.000672754188239866e+00
2.703004291845493793e+09,1.002556998399864341e+00
2.703505007153075695e+09,1.001842584455812313e+00
2.704005722460658073e+09,9.985403660253883151e-01
2.704506437768240452e+09,9.974163970212430730e-01
2.705007153075822830e+09,9.987000837472473913e-01
2.705507868383404732e+09,1.000028666318527604e+00
2.706008583690987110e+09,9.952953232042683895e-01
2.706509298998569489e+09,9.995071602447733738e-01
2.707010014306151867e+09,9.974522686329614363e-01
2.707510729613733768e+09,9.984788906098276406e-01
2.708011444921316147e+09,9.988542296739209014e-01
2.708512160228898525e+09,9.993094568577580716e-01
2.709012875536480904e+09,1.000764614656137752e+00
2.709513590844062805e+09,1.002025663278121703e+00
2.710014306151645184e+09,9.996828363619997271e-01
2.710515021459227562e+09,1.002672087608789120e+00
2.711015736766809940e+09,9.986080117580505844e-01
2.711516452074391842e+09,1.000640646754017205e+00
2.712017167381974220e+09,1.001743777158413895e+00
2.712517882689556599e+09,1.000124055831914882e+00
2.713018597997138977e+09,9.984482110124887067e-01
2.713519313304720879e+09,9.980909204259277301e-01
2.714020028612303257e+09,9.990180641305331788e-01
2.714520743919885635e+09,1.000373033096309205e+00
2.715021459227468014e+09,9.979125155252823731e-01
2.715522174535049915e+09,9.995124912553210450e-01
2.716022889842632294e+09,9.996114638439602684e-01
2.716523605150214672e+09,1.001010656895527040e+00
2.717024320457797050e+09,1.000357315675305392e+00
2.717525035765378952e+09,1.000637753812073871e+00
2.718025751072961330e+09,9.986183407949869029e-01
2.718526466380543709e+09,9.996657383967980648e-01
2.719027181688126087e+09,1.001491861636451874e+00
2.719527896995707989e+09,1.002909694727774248e+00
2.720028612303290367e+09,9.974035991247880428e-01
2.720529327610872746e+09,1.002948450776179667e+00
2.721030042918455124e+09,1.002611201645768446e+00
2.721530758226037025e+09,1.001480894923758358e+00
2.722031473533619404e+09,1.000445977648432683e+00
2.722532188841201782e+09,9.992879871223343535e-01
2.723032904148784161e+09,1.002830611704132346e+00
2.723533619456366062e+09,1.003833794866702656e+00
2.724034334763948441e+09,1.003515225234054675e+00
2.724535050071530819e+09,1.002540808662620408e+00
2.725035765379113197e+09,1.000623974946136308e+00
2.725536480686695099e+09,9.974911561373150937e-01
2.726037195994277477e+09,9.998974295866058792e-01
2.726537911301859856e+09,1.001217796190136955e+00
2.727038626609442234e+09,9.973265946694911399e-01
2.727539341917024136e+09,1.000691994546889507e+00
2.728040057224606514e+09,1.000759870887250491e+00
2.728540772532188892e+09,1.001290580890761728e+00
2.729041487839771271e+09,9.975285689019567359e-01
2.729542203147353172e+09,9.985716650422263863e-01
2.730042918454935551e+09,9.990204194460730047e-01
2.730543633762517929e+09,9.975518586578311364e-01
2.731044349070100307e+09,1.003368321842343258e+00
2.731545064377682209e+09,9.988958375533339984e-01
2.732045779685264587e+09,1.000543618643235932e+00
2.732546494992846966e+09,9.993665001782564561e-01
2.733047210300429344e+09,1.003048500390826270e+00
2.733547925608011246e+09,1.002520127323276888e+00
2.734048640915593624e+09,1.001143900434237954e+00
2.734549356223176003e+09,9.954679020552241742e-01
2.735050071530758381e+09,9.999766407332576490e-01
2.735550786838340282e+09,1.001237547906984160e+00
2.736051502145922661e+09,1.001875620495734198e+00
2.736552217453505039e+09,9.986293313223368884e-01
2.737052932761087418e+09,1.003506539483958626e+00
