pass_id,date,elevation_max_deg,key_bits
1,2025-01-01,71,250246
2,2025-01-02,60,317493
3,2025-01-03,84,200768
4,2025-01-04,33,122607
5,2025-01-05,30,173768
6,2025-01-06,59,113085
7,2025-01-07,22,262322
8,2025-01-08,22,730429
9,2025-01-09,53,168628
10,2025-01-10,50,152182
11,2025-02-01,79,369937
12,2025-02-02,60,332609
13,2025-02-03,53,271997
14,2025-02-04,52,118757
15,2025-02-05,36,244217
16,2025-02-06,20,436026
17,2025-02-07,32,85292
18,2025-02-08,64,0
19,2025-02-09,33,0
20,2025-02-10,44,0
